,ID,date,dept,annee_const,hauteur,etages,mat_murs,mat_toits,nb_angles,surface_bati_dur,surface_bati_leger,surface_parcelle,nb_bati_dur,nb_bati_leger,NbPieces
6566,1196348,26/03/2019,34,1700,7.8,2,10,19,7,135.4,28.4,305.1653821,1,1,4p
3212,625660,30/10/2015,27,1986,3.6,2,60,10,13,72.9,0,775.5759555,1,0,4p
11611,2535549,28/03/2018,83,1965,5.3,1,24,10,11,83.8,33.1,1301.907388,1,1,2p et moins
484,2169181,29/09/2015,78,1962,5.7,2,15,10,5,67.1,0,282.8183822,2,0,6p et plus
7119,1532073,17/09/2020,62,1860,4.9,2,90,10,10,167.4,0,1767.096846,1,0,4p
9660,789787,03/03/2020,35,1964,6.3,2,14,20,5,141.8,6.1,519.8635961,1,1,5p
602,2359653,14/10/2016,80,1983,3,1,90,10,5,116.7,8.5,808.3122888,1,1,3p
6794,918973,16/09/2020,40,1971,3,1,40,10,NA,120.7,12.3,397.0031354,1,1,4p
3621,1279944,30/10/2020,53,1850,8.1,3,10,20,6,129,0,591.2812036,1,0,4p
9077,1449873,05/04/2018,45,1977,3,1,30,10,5,105,0,1184.244286,1,0,3p
3225,1656725,11/09/2019,45,1973,5.1,2,30,40,6,166.7,0,846.2150052,1,0,6p et plus
7778,1126320,14/06/2017,34,1600,7.6,1,10,10,8,49.7,0,49.40000381,1,0,2p et moins
4832,245235,15/01/2015,13,1961,6.3,1,50,10,12,117.2,0,866.6630761,1,0,4p
8679,1898769,30/07/2018,62,1988,5.5,1,40,10,5,29.2,0,425.6119605,1,0,3p
11914,1534071,29/10/2020,62,1954,5,1,60,10,9,136.3,0,549.4958657,1,0,3p
992,604806,15/03/2019,21,1974,5.7,1,30,10,5,155.6,0,812.6923085,1,0,4p
9609,2110236,07/09/2015,77,1976,5.5,1,40,10,7,106.2,56.5,342.5816472,2,1,3p
14152,1061280,19/07/2017,33,2002,4.3,1,34,10,7,79.1,0,697.8963783,1,0,5p
4197,677347,19/11/2019,22,2004,3.1,2,4,2,15,40.2,0,96.57810045,1,0,6p et plus
12921,897,23/02/2015,1,2003,3.8,2,20,10,14,92.9,0,412.900766,1,0,6p et plus
1280,3252737,08/11/2019,92,1890,10.3,1,14,10,13,134.8,6.3,375.9133245,2,1,4p
5012,996785,09/02/2018,33,2013,3.5,1,60,10,5,129,0,247.4502854,1,0,4p
13751,216828,30/06/2020,11,1985,3.8,2,40,10,10,97.6,0,393.0367382,1,0,4p
3722,1566810,15/07/2019,44,1880,5.6,2,10,13,5,99.8,0,381.4572686,2,0,4p
7384,1648810,11/02/2019,45,1995,6,2,50,20,10,107.3,0,1961.126582,1,0,6p et plus
5361,1266336,25/01/2017,37,1900,9.5,3,10,20,9,165.8,0,571.4134581,2,0,6p et plus
10596,1118484,03/02/2017,34,1960,6.6,1,50,40,5,152.4,14.5,526.3204864,1,1,4p
309,1125862,08/08/2019,33,1870,6.6,2,20,10,12,207.8,0,473.4460761,1,0,6p et plus
12371,2163998,07/09/2018,72,2012,5.3,1,5,1,7,111.7,0,121.7171971,1,0,4p
11944,253570,28/06/2017,11,1964,3.1,1,40,10,9,179.7,0,759.2013839,1,0,3p
2861,1510547,30/07/2019,42,1980,5.7,2,20,10,7,112,0,358.1987778,2,0,5p
84,1602655,22/04/2017,45,1823,5,2,14,10,6,231.7,5.7,1041.466335,1,1,4p
